,SS_delay,SS_duration,SS_stimulus,SS_trial_type,att_check_percent,block_duration,correct,correct_response,correct_trial,current_block,current_trial,exp_id,final_accuracy,final_avg_rt,final_credit_var,final_missed_percent,final_responses_ok,go_acc,internal_node_id,key_press,possible_responses,responses,rt,stim,stim_duration,stimulus,stop_acc,stop_signal_condition,text,time_elapsed,timing_post_trial,trial_id,trial_index,trial_type,view_history
0,,,,,,1967.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-0.0,13.0,[13],,1967,,1967.0,"<div class = bigbox><div class = picture_box><p class = block-text><font color=""white"">Welcome to the experiment. This experiment will take about 10 minutes. Press <i>enter</i> to begin.</font></p></div></div>",,,,1968,0.0,practice-no-stop-feedback,0,poldrack-single-stim,
1,,,,,,,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-1.0,,,,40610,,,,,,,42580,,instruction,1,poldrack-instructions,"[{""page_index"":0,""viewing_time"":20166},{""page_index"":1,""viewing_time"":13346},{""page_index"":2,""viewing_time"":7098}]"
2,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-2.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,43084,0.0,prompt_fixation,2,poldrack-single-stim,
3,350.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,1.0,stop_signal_single_task_network,,,,,,,0.0-0.0-3.0,77.0,"[90, 77]",,906,square,1000.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/stop_signal_single_task_network/images/square.png'></img></div>,0.0,stop,,45087,0.0,practice_trial,3,stop-signal,
4,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-4.0,-1.0,none,,-1,,500.0,"<div class = fb_box><div class = center-text><font size = 20>There was a star.</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">circle: Z key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">square: M key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears!</p></div>",,,,45590,0.0,practice-stop-feedback,4,poldrack-single-stim,
5,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-5.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,46093,0.0,prompt_fixation,5,poldrack-single-stim,
6,300.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,stop,,2000.0,,-1.0,0.0,0.0,2.0,stop_signal_single_task_network,,,,,,,0.0-0.0-6.0,77.0,"[90, 77]",,385,square,1000.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/stop_signal_single_task_network/images/square.png'></img></div>,0.0,stop,,48096,0.0,practice_trial,6,stop-signal,
7,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-7.0,-1.0,none,,-1,,500.0,"<div class = fb_box><div class = center-text><font size = 20>There was a star.</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">circle: Z key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">square: M key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears!</p></div>",,,,48599,0.0,practice-stop-feedback,7,poldrack-single-stim,
8,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-8.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,49101,0.0,prompt_fixation,8,poldrack-single-stim,
9,250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,3.0,stop_signal_single_task_network,,,,,,1.0,0.0-0.0-9.0,90.0,"[90, 77]",,424,circle,1000.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/stop_signal_single_task_network/images/circle.png'></img></div>,,go,,51104,0.0,practice_trial,9,stop-signal,
10,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-10.0,-1.0,none,,-1,,500.0,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">circle: Z key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">square: M key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears!</p></div>",,,,51607,0.0,practice-stop-feedback,10,poldrack-single-stim,
11,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-11.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,52109,0.0,prompt_fixation,11,poldrack-single-stim,
12,250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,4.0,stop_signal_single_task_network,,,,,,1.0,0.0-0.0-12.0,77.0,"[90, 77]",,336,square,1000.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/stop_signal_single_task_network/images/square.png'></img></div>,,go,,54112,0.0,practice_trial,12,stop-signal,
13,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-13.0,-1.0,none,,-1,,500.0,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">circle: Z key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">square: M key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears!</p></div>",,,,54615,0.0,practice-stop-feedback,13,poldrack-single-stim,
14,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-14.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,55118,0.0,prompt_fixation,14,poldrack-single-stim,
15,250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,5.0,stop_signal_single_task_network,,,,,,1.0,0.0-0.0-15.0,77.0,"[90, 77]",,392,square,1000.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/stop_signal_single_task_network/images/square.png'></img></div>,,go,,57121,0.0,practice_trial,15,stop-signal,
16,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-16.0,-1.0,none,,-1,,500.0,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">circle: Z key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">square: M key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears!</p></div>",,,,57624,0.0,practice-stop-feedback,16,poldrack-single-stim,
17,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-17.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,58126,0.0,prompt_fixation,17,poldrack-single-stim,
18,250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,6.0,stop_signal_single_task_network,,,,,,1.0,0.0-0.0-18.0,77.0,"[90, 77]",,368,square,1000.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/stop_signal_single_task_network/images/square.png'></img></div>,,go,,60129,0.0,practice_trial,18,stop-signal,
19,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-19.0,-1.0,none,,-1,,500.0,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">circle: Z key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">square: M key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears!</p></div>",,,,60632,0.0,practice-stop-feedback,19,poldrack-single-stim,
20,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-20.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,61135,0.0,prompt_fixation,20,poldrack-single-stim,
21,250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,90.0,1.0,0.0,7.0,stop_signal_single_task_network,,,,,,1.0,0.0-0.0-21.0,90.0,"[90, 77]",,406,circle,1000.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/stop_signal_single_task_network/images/circle.png'></img></div>,,go,,63138,0.0,practice_trial,21,stop-signal,
22,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-22.0,-1.0,none,,-1,,500.0,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">circle: Z key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">square: M key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears!</p></div>",,,,63641,0.0,practice-stop-feedback,22,poldrack-single-stim,
23,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-23.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,64144,0.0,prompt_fixation,23,poldrack-single-stim,
24,250.0,500.0,<img class = center src='/static/experiments/stop_signal_single_task_network/images/stopSignal.png'></img>,go,,2000.0,,77.0,1.0,0.0,8.0,stop_signal_single_task_network,,,,,,1.0,0.0-0.0-24.0,77.0,"[90, 77]",,413,square,1000.0,<div class = bigbox><div class = centerbox><div class = gng_number><div class = cue-text><img class = center src='/static/experiments/stop_signal_single_task_network/images/square.png'></img></div>,,go,,66147,0.0,practice_trial,24,stop-signal,
25,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-25.0,-1.0,none,,-1,,500.0,"<div class = fb_box><div class = center-text><font size = 20>Correct!</font></div></div><div class = prompt_box><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">circle: Z key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">square: M key</p><p class = center-block-text style = ""font-size:16px; line-height:80%%;"">Do not respond if a star appears!</p></div>",,,,66649,0.0,practice-stop-feedback,25,poldrack-single-stim,
26,,,,,,500.0,,,,,,stop_signal_single_task_network,,,,,,,0.0-0.0-26.0,-1.0,none,,-1,,500.0,<div class = centerbox><div class = fixation>+</div></div>,,,,67152,0.0,prompt_fixation,26,poldrack-single-stim,
